-3.666067095,-0.9355300094,25.91775385
-3.40973608,-1.010790679,25.2696338
-3.185683744,-1.100534316,24.63895668
-2.992086771,-1.202175957,24.02562572
-2.827079929,-1.313775793,23.42946422
-2.688819701,-1.433950916,22.8502673
-2.575529432,-1.56180506,22.28783137
-2.485537773,-1.696853799,21.74197914
-2.417302808,-1.838969319,21.21257354
-2.369433398,-1.988322717,20.69953026
-2.340698401,-2.14534434,20.20282577
-2.330037354,-2.310682352,19.72250578
-2.336559849,-2.48517672,19.25869289
-2.359550506,-2.669830881,18.81159555
-2.398462337,-2.8657964,18.38151863
-2.452918916,-3.07435413,17.96887527
-2.52270499,-3.296905752,17.57420271
-2.60776664,-3.534961233,17.19817831
-2.708202148,-3.790132161,16.84164301
-2.824259225,-4.064123016,16.50562219
-2.956328262,-4.35872018,16.1913585
-3.104935233,-4.675782533,15.90034091
-3.270737238,-5.017222736,15.6343432
-3.454510822,-5.384984774,15.39546978
-3.657145807,-5.78101843,15.18619453
-3.879630062,-6.20722857,15.00942346
-4.123034139,-6.665425628,14.86854252
-4.388494983,-7.157260967,14.76747446
-4.677181243,-7.684105046,14.71074865
-4.990265722,-8.246952019,14.70354058
-5.328884349,-8.846269654,14.75172912
-5.694065304,-9.481765588,14.86192185
-6.086673888,-10.15221259,15.04145253
-6.507324119,-10.85515634,15.29836174
-6.956249138,-11.58655396,15.64126039
-7.433201678,-12.34050071,16.07919252
-7.937286256,-13.10878818,16.62133696
-8.466772608,-13.88053712,17.2765373
-9.018937795,-14.6418836,18.05283828
-9.589823688,-15.37568781,18.95657515
-10.17406762,-16.0615073,19.99153516
-10.76471075,-16.6756599,21.15788422
-11.35307255,-17.19194281,22.450772
-11.92871603,-17.58240102,23.85937493
-12.47950161,-17.8189229,25.36572097
-12.99187237,-17.87529594,26.94408149
-13.45120328,-17.72940602,28.56096225
-13.84252293,-17.36611594,30.17599963
-14.15122003,-16.77946238,31.74360933
-14.36408401,-15.97474075,33.21598739
-14.47021123,-14.96933751,34.54634571
-14.46199186,-13.79232736,35.69299212
-14.33579043,-12.48275875,36.62268854
-14.09240161,-11.08648009,37.31356203
-13.73708265,-9.652395064,37.75646728
-13.2792241,-8.228282233,37.95502416
-12.73166119,-6.857156892,37.92413414
-12.10976126,-5.574482024,37.68754222
-11.43035873,-4.406552517,37.27471349
-10.71073208,-3.370098905,36.71778226
-9.967662318,-2.472880753,36.04878851
-9.216689081,-1.715011174,35.29758352
-8.471582375,-1.090616757,34.49046753
-7.744024344,-0.5896114326,33.64949045
-7.043488459,-0.199314226,32.79232421
-6.377269696,0.09419725594,31.93251943
-5.750629006,0.3050233158,31.08000707
-5.167007646,0.4466965294,30.24170268
-4.628278002,0.5316983356,29.42212002
-4.135011069,0.5711842097,28.62394937
-3.686730291,0.5748727262,27.84854439
-3.282148579,0.5510456001,27.09632414
-2.919382266,0.506620906,26.3670909
-2.596127058,0.4472658681,25.6602592
-2.309816591,0.3775376801,24.97503157
-2.057740522,0.3010203677,24.31051039
-1.837148499,0.2204699757,23.66577876
-1.645323567,0.137938667,23.03994566
-1.479641206,0.05489646959,22.43217409
-1.337611492,-0.02766787873,21.84169318
-1.216905707,-0.1091563505,21.26780185
-1.115376922,-0.1892848241,20.70986686
-1.031066981,-0.2680206568,20.16731785
-0.9622115221,-0.3455281695,19.63964106
-0.9072374734,-0.4221275245,19.12637299
-0.8647575575,-0.4982597177,18.62709429
-0.8335640985,-0.5744602727,18.14142474
-0.8126179849,-0.6513398899,17.66901898
-0.8010412326,-0.7295687477,17.20956339
-0.7981046441,-0.8098681826,16.76277405
-0.8032201296,-0.8930032339,16.32839556
-0.8159296815,-0.9797814137,15.90620099
-0.8358983089,-1.071051623,15.49599261
-0.8629053283,-1.167707528,15.09760366
-0.8968388517,-1.270691121,14.71090109
-0.937689407,-1.380999378,14.33578915
-0.9855467763,-1.49969094,13.97221442
-1.040595645,-1.627895515,13.62017176
-1.103115137,-1.766822347,13.279712
-1.173476507,-1.917772172,12.95095133
-1.252144776,-2.082146489,12.63408196
-1.339679386,-2.261461636,12.32938757
-1.43673653,-2.457358549,12.03725696
-1.544073089,-2.671616788,11.75820738
-1.662550368,-2.906165777,11.49290688
-1.793138505,-3.163095563,11.24220064
-1.936923123,-3.444668073,11.00715321
-2.09511022,-3.75332243,10.78908105
-2.269031284,-4.091681523,10.5896044
-2.460150329,-4.462547325,10.41071386
-2.670066895,-4.868894482,10.25482393
-2.900518444,-5.313850713,10.1248654
-3.153381015,-5.800656096,10.02438065
-3.430665045,-6.332622801,9.957613415
-3.73450283,-6.913036326,9.929655838
-4.067131504,-7.545049404,9.946562509
-4.430866465,-8.231537181,10.01549542
-4.828045808,-8.974831767,10.14489226
-5.260976922,-9.776488882,10.34457721
-5.731844074,-10.63688292,10.62590627
-6.242571065,-11.55469644,11.00182225
-6.794688724,-12.52640786,11.48686314
-7.389088,-13.54545024,12.09699014
